craft_element_id,craft_uid,sitecore_item_id,section,entry_type,slug,craft_uri
8725458,7a0ac002-9e3e-42d6-af44-6a9b801c7036,5bd26886-36c3-4ada-a97b-8f2c233b33b1,lessons,lessons,atrio-matching-products-in-matching-colours,nuggets/atrio-matching-products-in-matching-colours
8738217,0e1caded-017a-45b1-8ac2-c81eb4924f83,e7bc73c9-019d-457c-8d50-01617b4dc3a4,lessons,lessons,atrio-material-to-go,nuggets/atrio-material-to-go
8639158,cde27b47-7e06-49c2-b4fc-28804dbcc222,9bfe397c-14c6-44ba-a993-6ed5a09ab3aa,lessons,lessons,atrio-our-mission,nuggets/atrio-our-mission
8722603,55f51c2e-a65b-447f-9158-20de80c7018a,2e8de6e8-65b7-4adb-ad96-521c10b2b66b,lessons,lessons,atrio-overview-range-recommendation,nuggets/atrio-overview-range-recommendation
8693797,83a2f16a-4ce8-407f-8801-2859745e10a4,e670f291-a871-4839-ba29-543a64a7c713,lessons,lessons,atrio-private-collection-for-more-customization,nuggets/atrio-private-collection-for-more-customization
8657062,af6239d2-45e6-4e06-a4fa-02ddd49c10ad,a24bdc75-988e-448c-8c9e-20cb96052b39,lessons,lessons,atrio-product-overview-base-product-line,nuggets/atrio-product-overview-base-product-line
8699934,e1238325-ea4f-4e9c-ba7e-d00168d6e4be,9e500f3c-d94f-431c-8b43-65b48cd62aed,lessons,lessons,atrio-product-overview-private-collection,nuggets/atrio-product-overview-private-collection
8722526,051cf009-4835-4337-bf5c-da8c0f4b100c,e422b7ce-8ec0-42bc-8baa-a1ab4b1f496b,lessons,lessons,atrio-sell-the-perfect-match,nuggets/atrio-sell-the-perfect-match
8723190,52898b1f-3819-44ed-ae85-fc266bca07eb,3667c748-391b-436a-9f7e-be8464b87167,lessons,lessons,atrio-shower-bath-zone-matching-products,nuggets/atrio-shower-bath-zone-matching-products
8677403,6c2c4f09-bf7d-43cf-acb5-920efddb66f4,c3aa6ebf-2679-437d-8e11-06ebf79b93f4,lessons,lessons,atrio-shower-zone,nuggets/atrio-shower-zone
8719464,e183ea48-9c67-416a-8d4a-d56523af86b6,996545be-d34a-4cad-8353-03fb455e07ff,lessons,lessons,atrio-shower-zone-2,nuggets/atrio-shower-zone-2
8677402,d9d4f892-dfb2-42bd-b934-1f84c4277978,801ad3dc-12d7-46c1-8c2a-ccfeb9badbb2,lessons,lessons,atrio-shower-zone-base-product-line,nuggets/atrio-shower-zone-base-product-line
8719465,acbc21a1-307b-402d-ac62-7aa582684b23,309beb0f-62e0-445d-9a44-89c878bb0048,lessons,lessons,atrio-shower-zone-private-collection,nuggets/atrio-shower-zone-private-collection
8654389,26f2a15a-25d1-44c6-a01b-f5d759c904e8,ba1162ac-8a9a-4d02-a347-8bd2a108dfe3,lessons,lessons,atrio-speedclean,nuggets/atrio-speedclean
8725747,96306db2-00ed-420c-b003-b79a7d2583a0,8c482b37-9272-4016-9ae7-5b2844a148b3,lessons,lessons,atrio-supersteel,nuggets/atrio-supersteel
8654660,0d593143-a55c-4d4d-a670-49bfdf4be53a,a894be41-bcee-499a-b279-a82113f438fc,lessons,lessons,atrio-swivel-spout,nuggets/atrio-swivel-spout
8655035,bf431a89-fd8d-4c1d-8014-e8654494a5a9,ac368dba-0488-4f25-a3b8-daad30dcb33a,lessons,lessons,atrio-temperature-limiter,nuggets/atrio-temperature-limiter
8627969,c437cb78-2fde-43e7-914d-f014190307a4,6ceec638-03a5-4b7f-8ac9-2bcb50ff4e43,lessons,lessons,atrio-the-key-to-purchase-decisions,nuggets/atrio-the-key-to-purchase-decisions
8638010,0e592938-2b14-4d2f-8d35-f9696b594434,de151982-479f-4d57-ba9c-c8ed15d2c3ee,lessons,lessons,atrio-the-story-behind-atrio,nuggets/atrio-the-story-behind-atrio
8688500,1994cb38-20e3-4e65-9875-85f88f227738,b9e5c5f8-774c-4197-9a31-700269818135,lessons,lessons,atrio-toilet-zone,nuggets/atrio-toilet-zone
8724694,a0947a59-6bb9-44ff-8a07-9358fb95cfbf,79226cdd-5709-484b-8260-8b02419f7a45,lessons,lessons,atrio-toilet-zone-2,nuggets/atrio-toilet-zone-2
8688499,ec3cd5a0-5c88-4e4e-8a75-33bb9d586909,fee7bc1d-81c9-4fd4-9f76-64c88b45e7ff,lessons,lessons,atrio-toilet-zone-base-product-line,nuggets/atrio-toilet-zone-base-product-line
8724693,f6608290-2482-4bae-bb7f-e344ee59b0e2,2a39a895-8802-4abc-8268-9d0d7d52f465,lessons,lessons,atrio-toilet-zone-matching-products,nuggets/atrio-toilet-zone-matching-products
8658215,359ef05c-f3ca-4c93-98c1-53426c3ecabe,50beebfe-3821-4294-91c1-e267a1c102ea,lessons,lessons,atrio-vanity-zone,nuggets/atrio-vanity-zone
8700679,4d612e3b-387e-4d19-b9c1-e9e038e83ee4,1edaad04-67ef-4e97-8fdd-16b32677a917,lessons,lessons,atrio-vanity-zone-2,nuggets/atrio-vanity-zone-2
8722929,a7d95ecc-b23e-4076-a8d2-a97e8ebe02bd,6c55661e-f0b5-4113-ba0b-ad67b6027538,lessons,lessons,atrio-vanity-zone-3,nuggets/atrio-vanity-zone-3
8658076,4179c850-911f-4f6c-a52e-c38d5019d229,be165d36-72ac-4cf6-a1d9-16a141457e00,lessons,lessons,atrio-vanity-zone-base-product-line,nuggets/atrio-vanity-zone-base-product-line
8722749,4c9f110e-3e47-410c-8497-6dca91b6f03b,b9741c20-76f3-4ced-bea9-dd908e687504,lessons,lessons,atrio-vanity-zone-matching-products,nuggets/atrio-vanity-zone-matching-products
8700438,a9acef49-4a15-42b4-a8d2-7a558019657b,a8b1f1a7-eb80-432a-b31a-ccf422781c02,lessons,lessons,atrio-vanity-zone-private-collection,nuggets/atrio-vanity-zone-private-collection
8645887,a4c72532-dc6c-4e5f-83a2-e72eaca9a4d9,d94b1726-9fc2-4893-bd9a-fc9073a1b5fa,lessons,lessons,atrio-variants,nuggets/atrio-variants
8725459,51e1a4cc-bfb7-4d2c-8bd2-bcb18c9bac2a,a3fc06a1-e156-4aa3-987a-68d25d5fdf4e,lessons,lessons,atrio-warm-sunset,nuggets/atrio-warm-sunset
8694084,5fd5633e-4074-4d67-8ea5-2ba23fbd29c8,6170bbe1-fbeb-4ad0-af4a-6162eac8a769,lessons,lessons,atrio-your-individual-configuration-options,nuggets/atrio-your-individual-configuration-options
532630,8341ddbd-211f-4830-9528-3c52fe4a976c,a2ae1008-71bb-4b18-ba8c-8480bb48d16e,lessons,lessons,bau-cosmo-e-2-1-preparation,nuggets/bau-cosmo-e-2-1-preparation
532763,f69fe901-6607-48e2-8113-1c520265882e,4ede6f98-b204-4e77-896a-9782226b3663,lessons,lessons,bau-cosmo-e-2-2-check-the-position-of-the-tap,nuggets/bau-cosmo-e-2-2-check-the-position-of-the-tap
533073,345af37f-93bb-47ce-81fd-2594bc6ec26d,069645d2-56f7-42ee-a4f3-f5dd3f1e3ae7,lessons,lessons,bau-cosmo-e-2-3-installing-the-tap,nuggets/bau-cosmo-e-2-3-installing-the-tap
534308,7a39335c-7031-42db-af12-9e7179d3ec34,dd8fb324-2b14-49a8-a323-7992ec62724a,lessons,lessons,bau-cosmo-e-2-4-installing-and-attaching-the-battery-power-unit,nuggets/bau-cosmo-e-2-4-installing-and-attaching-the-battery-power-unit
535035,f14a1606-b226-4e60-ba8d-9e8885d95c8c,f1fca7c3-a260-4b37-843e-5ae9262842bd,lessons,lessons,bau-cosmo-e-2-5-installing-and-attaching-the-ac-power-unit,nuggets/bau-cosmo-e-2-5-installing-and-attaching-the-ac-power-unit
535301,bb8fda62-4c75-46fb-94fe-0f75dbecf871,f3dea8f9-d765-4352-bba2-40877eec1379,lessons,lessons,bau-cosmo-e-2-6-installation-complete,nuggets/bau-cosmo-e-2-6-installation-complete
552867,c9d10764-44bc-494e-8d40-56ef0b6c3f5c,7bcd9ed8-ec19-41b1-9499-ee8c5305aea4,lessons,lessons,bau-cosmo-e-accessing-usage-data,nuggets/bau-cosmo-e-accessing-usage-data
552476,e70fade9-e825-4c9d-9d44-24eb6946417a,620d2c9e-70f3-46d0-a790-641739716471,lessons,lessons,bau-cosmo-e-adjustable-detection-area,nuggets/bau-cosmo-e-adjustable-detection-area
543241,a976c53f-252b-449b-b767-c7b018e39c17,859e8ecf-f423-473e-a01d-b2e4ae379ae6,lessons,lessons,bau-cosmo-e-adjusting-the-automatic-flushing,nuggets/bau-cosmo-e-adjusting-the-automatic-flushing
542965,51f7cc5a-d382-4152-99c1-cf7b4caf84f8,1b26927e-5a5e-49a0-8a34-5a3555bd15f4,lessons,lessons,bau-cosmo-e-adjusting-the-detection-area,nuggets/bau-cosmo-e-adjusting-the-detection-area
540728,5aa4ddd6-3f9e-401e-a3b3-a3cb99fcfd5f,ab2922ff-b64b-451d-b2f7-627de2e1d54c,lessons,lessons,bau-cosmo-e-adjusting-the-maximum-running-time,nuggets/bau-cosmo-e-adjusting-the-maximum-running-time
542455,bb19c751-ca4f-46a9-862d-d712ad05dacd,ae131c49-b22e-4fdb-b6ed-071c61a7f88a,lessons,lessons,bau-cosmo-e-adjusting-the-running-time-after-last-detection,nuggets/bau-cosmo-e-adjusting-the-running-time-after-last-detection
559596,3176a93d-fb17-42e0-8301-77fd86ead5c7,3b8d2e06-1424-43c0-a217-fedffc884844,lessons,lessons,bau-cosmo-e-airports,nuggets/bau-cosmo-e-airports
552288,ff8a57db-455d-4893-a7a7-579e4f863f6d,2e8626c9-f647-4605-8411-159fe59958d4,lessons,lessons,bau-cosmo-e-applying-profiles,nuggets/bau-cosmo-e-applying-profiles
559999,8037cd2b-37a7-4c31-ba4d-cfa07d737aeb,0a42d0ee-0634-4d44-aff7-d23d02a59feb,lessons,lessons,bau-cosmo-e-arenas-stadiums,nuggets/bau-cosmo-e-arenas-stadiums
551254,91c65a09-3b77-4762-a2a0-480f6e42fcb8,f78d3fe2-041e-411f-a2bf-806d1091c758,lessons,lessons,bau-cosmo-e-automatic-flushing,nuggets/bau-cosmo-e-automatic-flushing
544698,c4b341bb-e36c-45d2-b499-aa853b50b508,f3cb015f-efff-4fb7-9ed7-31191272bd69,lessons,lessons,bau-cosmo-e-bau-cosmopolitan-e-variants,nuggets/bau-cosmo-e-bau-cosmopolitan-e-variants
